"batch_id","run_id","agent_name","graph_name","sequence","cycle","cycle_timestamp","duration_ms","file","line","event_count","opportunistic_detected_count","opportunistic_prompt_visible_count","selection_count","contingency_event_count","contingency_guidance_event_count"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","117","116","2026-06-07T19:20:50.622+00:00","3017","react_ccrs_mazeV1_04_20260607_211522.log","2837","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","118","117","2026-06-07T19:20:54.832+00:00","4210","react_ccrs_mazeV1_04_20260607_211522.log","2975","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","119","118","2026-06-07T19:20:56.851+00:00","2019","react_ccrs_mazeV1_04_20260607_211522.log","2991","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","120","119","2026-06-07T19:20:59.492+00:00","2641","react_ccrs_mazeV1_04_20260607_211522.log","3007","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","121","120","2026-06-07T19:21:13.331+00:00","13839","react_ccrs_mazeV1_04_20260607_211522.log","3215","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","122","121","2026-06-07T19:21:15.376+00:00","2045","react_ccrs_mazeV1_04_20260607_211522.log","3225","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","123","122","2026-06-07T19:21:18.834+00:00","3458","react_ccrs_mazeV1_04_20260607_211522.log","3241","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","124","123","2026-06-07T19:21:35.007+00:00","16173","react_ccrs_mazeV1_04_20260607_211522.log","3257","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","125","124","2026-06-07T19:21:36.886+00:00","1879","react_ccrs_mazeV1_04_20260607_211522.log","3267","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","126","125","2026-06-07T19:21:38.878+00:00","1992","react_ccrs_mazeV1_04_20260607_211522.log","3283","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","127","126","2026-06-07T19:21:40.789+00:00","1911","react_ccrs_mazeV1_04_20260607_211522.log","3299","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","128","127","2026-06-07T19:21:42.758+00:00","1969","react_ccrs_mazeV1_04_20260607_211522.log","3315","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","129","128","2026-06-07T19:21:45.261+00:00","2503","react_ccrs_mazeV1_04_20260607_211522.log","3331","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","130","129","2026-06-07T19:21:47.307+00:00","2046","react_ccrs_mazeV1_04_20260607_211522.log","3347","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","131","130","2026-06-07T19:21:49.734+00:00","2427","react_ccrs_mazeV1_04_20260607_211522.log","3363","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","132","131","2026-06-07T19:21:59.854+00:00","10120","react_ccrs_mazeV1_04_20260607_211522.log","3379","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","133","132","2026-06-07T19:22:02.047+00:00","2193","react_ccrs_mazeV1_04_20260607_211522.log","3395","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","134","133","2026-06-07T19:22:03.973+00:00","1926","react_ccrs_mazeV1_04_20260607_211522.log","3411","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","135","134","2026-06-07T19:22:06.168+00:00","2195","react_ccrs_mazeV1_04_20260607_211522.log","3427","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","136","135","2026-06-07T19:22:09.583+00:00","3415","react_ccrs_mazeV1_04_20260607_211522.log","3443","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","137","136","2026-06-07T19:22:11.650+00:00","2067","react_ccrs_mazeV1_04_20260607_211522.log","3459","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","138","137","2026-06-07T19:22:13.715+00:00","2065","react_ccrs_mazeV1_04_20260607_211522.log","3475","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","139","138","2026-06-07T19:22:15.624+00:00","1909","react_ccrs_mazeV1_04_20260607_211522.log","3491","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","140","139","2026-06-07T19:22:17.588+00:00","1964","react_ccrs_mazeV1_04_20260607_211522.log","3507","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","141","140","2026-06-07T19:22:19.646+00:00","2058","react_ccrs_mazeV1_04_20260607_211522.log","3523","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","142","141","2026-06-07T19:22:21.629+00:00","1983","react_ccrs_mazeV1_04_20260607_211522.log","3539","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","143","142","2026-06-07T19:22:23.633+00:00","2004","react_ccrs_mazeV1_04_20260607_211522.log","3555","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","144","143","2026-06-07T19:22:25.526+00:00","1893","react_ccrs_mazeV1_04_20260607_211522.log","3571","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","145","144","2026-06-07T19:22:27.395+00:00","1869","react_ccrs_mazeV1_04_20260607_211522.log","3587","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","146","145","2026-06-07T19:22:29.605+00:00","2210","react_ccrs_mazeV1_04_20260607_211522.log","3603","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","147","146","2026-06-07T19:22:31.668+00:00","2063","react_ccrs_mazeV1_04_20260607_211522.log","3619","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","148","147","2026-06-07T19:22:33.689+00:00","2021","react_ccrs_mazeV1_04_20260607_211522.log","3635","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","149","148","2026-06-07T19:22:35.826+00:00","2137","react_ccrs_mazeV1_04_20260607_211522.log","3651","5","0","0","1","2","0"
