"batch_id","run_id","move_sequence","move_cell","move_timestamp","duration_ms","action_count","http_success_count","http_failure_count","get_count","post_count","status_codes"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","128","http://127.0.1.1:8080/cells/30/16","1782393722382","67245","17","16","1","16","1","201;200;200;200;200;200;200;200;200;200;200;200;403;200;200;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","129","http://127.0.1.1:8080/cells/31/16","1782393781824","59442","17","15","2","16","1","201;200;200;200;200;200;200;200;403;200;200;200;403;200;200;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","130","http://127.0.1.1:8080/cells/31/17","1782393850113","68289","14","14","0","13","1","201;200;200;200;200;200;200;200;200;200;200;200;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","131","http://127.0.1.1:8080/cells/32/17","1782393905659","55546","12","10","2","11","1","201;200;200;200;403;200;200;200;403;200;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","132","http://127.0.1.1:8080/cells/32/18","1782393948104","42445","13","13","0","12","1","201;200;200;200;200;200;200;200;200;200;200;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","133","http://127.0.1.1:8080/cells/32/19","1782393993808","45704","8","7","1","7","1","201;200;200;200;200;200;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","134","http://127.0.1.1:8080/cells/33/19","1782394021297","27489","13","13","0","12","1","201;200;200;200;200;200;200;200;200;200;200;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","135","http://127.0.1.1:8080/cells/34/19","1782394078315","57018","8","7","1","7","1","201;200;200;200;200;200;200;403"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","136","http://127.0.1.1:8080/cells/34/20","1782394111203","32888","26","25","1","25","1","201;200;200;200;200;200;200;200;200;200;200;200;200;200;200;403;200;200;200;200;200;200;200;200;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","137","http://127.0.1.1:8080/cells/34/21","1782394209716","98513","3","3","0","2","1","201;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","138","http://127.0.1.1:8080/cells/35/21","1782394220584","10868","21","21","0","20","1","201;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200"
