"batch_id","run_id","move_sequence","move_cell","move_timestamp","move_line","start_action_line","start_action_timestamp","end_before_action_line","action_count","get_count","post_count","http_error_count","status_codes","action_lines","action_targets","match_quality"
"react-baseline-vs-ccrs-v2","700-baseline","81","http://127.0.1.1:8080/cells/7/6","1782569367627","4920","1870","2026-06-27 16:09:27,526","1936","11","10","1","0","201;200;200;200;200;200;200;200;200;200;200","1870;1876;1882;1888;1894;1900;1906;1912;1918;1924;1930","http://127.0.1.1:8080/cells/7/6;http://127.0.1.1:8080/cells/7/6;http://127.0.1.1:8080/cells/7/6;http://127.0.1.1:8080/cells/7/6;http://127.0.1.1:8080/cells/7/6;http://127.0.1.1:8080/cells/7/6;http://127.0.1.1:8080/cells/7/6;http://127.0.1.1:8080/cells/7/6;http://127.0.1.1:8080/cells/7/6;http://127.0.1.1:8080/cells/7/6;http://127.0.1.1:8080/cells/7/6","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","82","http://127.0.1.1:8080/cells/8/6","1782569392499","4922","1936","2026-06-27 16:09:52,424","1948","2","1","1","0","201;200","1936;1942","http://127.0.1.1:8080/cells/8/6;http://127.0.1.1:8080/cells/8/6","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","83","http://127.0.1.1:8080/cells/9/6","1782569398053","4924","1948","2026-06-27 16:09:57,946","1966","3","2","1","0","201;200;200","1948;1954;1960","http://127.0.1.1:8080/cells/9/6;http://127.0.1.1:8080/cells/9/6;http://127.0.1.1:8080/cells/9/6","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","84","http://127.0.1.1:8080/cells/10/6","1782569405360","4926","1966","2026-06-27 16:10:05,256","1978","2","1","1","0","201;200","1966;1972","http://127.0.1.1:8080/cells/10/6;http://127.0.1.1:8080/cells/10/6","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","85","http://127.0.1.1:8080/cells/11/6","1782569410670","4928","1978","2026-06-27 16:10:10,580","1990","2","1","1","0","201;200","1978;1984","http://127.0.1.1:8080/cells/11/6;http://127.0.1.1:8080/cells/11/6","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","86","http://127.0.1.1:8080/cells/11/7","1782569415548","4930","1990","2026-06-27 16:10:15,465","2002","2","1","1","0","201;200","1990;1996","http://127.0.1.1:8080/cells/11/7;http://127.0.1.1:8080/cells/11/7","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","87","http://127.0.1.1:8080/cells/11/8","1782569420661","4932","2002","2026-06-27 16:10:20,561","2020","3","2","1","0","201;200;200","2002;2008;2014","http://127.0.1.1:8080/cells/11/8;http://127.0.1.1:8080/cells/11/8;http://127.0.1.1:8080/cells/11/8","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","88","http://127.0.1.1:8080/cells/11/9","1782569427793","4934","2020","2026-06-27 16:10:27,719","2032","2","1","1","0","201;200","2020;2026","http://127.0.1.1:8080/cells/11/9;http://127.0.1.1:8080/cells/11/9","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","89","http://127.0.1.1:8080/cells/11/10","1782569433204","4936","2032","2026-06-27 16:10:33,124","2044","2","1","1","0","201;200","2032;2038","http://127.0.1.1:8080/cells/11/10;http://127.0.1.1:8080/cells/11/10","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","90","http://127.0.1.1:8080/cells/11/11","1782569437960","4938","2044","2026-06-27 16:10:37,884","2056","2","1","1","0","201;200","2044;2050","http://127.0.1.1:8080/cells/11/11;http://127.0.1.1:8080/cells/11/11","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","91","http://127.0.1.1:8080/cells/10/11","1782569442933","4940","2056","2026-06-27 16:10:42,865","2140","14","13","1","0","201;200;200;200;200;200;200;200;200;200;200;200;200;200","2056;2062;2068;2074;2080;2086;2092;2098;2104;2110;2116;2122;2128;2134","http://127.0.1.1:8080/cells/10/11;http://127.0.1.1:8080/cells/10/11;http://127.0.1.1:8080/cells/10/11;http://127.0.1.1:8080/cells/10/11;http://127.0.1.1:8080/cells/10/11;http://127.0.1.1:8080/cells/10/11;http://127.0.1.1:8080/cells/10/11;http://127.0.1.1:8080/cells/10/11;http://127.0.1.1:8080/cells/10/11;http://127.0.1.1:8080/cells/10/11;http://127.0.1.1:8080/cells/10/11;http://127.0.1.1:8080/cells/10/11;http://127.0.1.1:8080/cells/10/11;http://127.0.1.1:8080/cells/10/11","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","92","http://127.0.1.1:8080/cells/11/11","1782569474975","4942","2140","2026-06-27 16:11:14,885","2170","5","4","1","0","201;200;200;200;200","2140;2146;2152;2158;2164","http://127.0.1.1:8080/cells/11/11;http://127.0.1.1:8080/cells/11/11;http://127.0.1.1:8080/cells/11/11;http://127.0.1.1:8080/cells/11/11;http://127.0.1.1:8080/cells/11/11","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","93","http://127.0.1.1:8080/cells/12/11","1782569487059","4944","2170","2026-06-27 16:11:26,951","2320","25","24","1","0","201;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200","2170;2176;2182;2188;2194;2200;2206;2212;2218;2224;2230;2236;2242;2248;2254;2260;2266;2272;2278;2284;2290;2296;2302;2308;2314","http://127.0.1.1:8080/cells/12/11;http://127.0.1.1:8080/cells/12/11;http://127.0.1.1:8080/cells/12/11;http://127.0.1.1:8080/cells/12/11;http://127.0.1.1:8080/cells/12/11;http://127.0.1.1:8080/cells/12/11;http://127.0.1.1:8080/cells/12/11;http://127.0.1.1:8080/cells/12/11;http://127.0.1.1:8080/cells/12/11;http://127.0.1.1:8080/cells/12/11;http://127.0.1.1:8080/cells/12/11;http://127.0.1.1:8080/cells/12/11;http://127.0.1.1:8080/cells/12/11;http://127.0.1.1:8080/cells/12/11;http://127.0.1.1:8080/cells/12/11;http://127.0.1.1:8080/cells/12/11;http://127.0.1.1:8080/cells/12/11;http://127.0.1.1:8080/cells/12/11;http://127.0.1.1:8080/cells/12/11;http://127.0.1.1:8080/cells/12/11;http://127.0.1.1:8080/cells/12/11;http://127.0.1.1:8080/cells/12/11;http://127.0.1.1:8080/cells/12/11;http://127.0.1.1:8080/cells/12/11;http://127.0.1.1:8080/cells/12/11","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","94","http://127.0.1.1:8080/cells/11/11","1782569554282","4946","2320","2026-06-27 16:12:34,180","2338","3","2","1","0","201;200;200","2320;2326;2332","http://127.0.1.1:8080/cells/11/11;http://127.0.1.1:8080/cells/11/11;http://127.0.1.1:8080/cells/11/11","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","95","http://127.0.1.1:8080/cells/10/11","1782569562103","4948","2338","2026-06-27 16:12:42,029","2494","26","25","1","0","201;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200","2338;2344;2350;2356;2362;2368;2374;2380;2386;2392;2398;2404;2410;2416;2422;2428;2434;2440;2446;2452;2458;2464;2470;2476;2482;2488","http://127.0.1.1:8080/cells/10/11;http://127.0.1.1:8080/cells/10/11;http://127.0.1.1:8080/cells/10/11;http://127.0.1.1:8080/cells/10/11;http://127.0.1.1:8080/cells/10/11;http://127.0.1.1:8080/cells/10/11;http://127.0.1.1:8080/cells/10/11;http://127.0.1.1:8080/cells/10/11;http://127.0.1.1:8080/cells/10/11;http://127.0.1.1:8080/cells/10/11;http://127.0.1.1:8080/cells/10/11;http://127.0.1.1:8080/cells/10/11;http://127.0.1.1:8080/cells/10/11;http://127.0.1.1:8080/cells/10/11;http://127.0.1.1:8080/cells/10/11;http://127.0.1.1:8080/cells/10/11;http://127.0.1.1:8080/cells/10/11;http://127.0.1.1:8080/cells/10/11;http://127.0.1.1:8080/cells/10/11;http://127.0.1.1:8080/cells/10/11;http://127.0.1.1:8080/cells/10/11;http://127.0.1.1:8080/cells/10/11;http://127.0.1.1:8080/cells/10/11;http://127.0.1.1:8080/cells/10/11;http://127.0.1.1:8080/cells/10/11;http://127.0.1.1:8080/cells/10/11","target_timestamp_order"
